City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hilo,US,19.7297,-155.09,78.24,85,19,1.99,few clouds
1,Cape Town,ZA,-33.9258,18.4232,68.41,80,20,18.41,few clouds
2,Mataura,NZ,-46.1927,168.8643,66.47,41,56,1.52,broken clouds
3,Airai,TL,-8.9266,125.4092,66.42,75,42,2.73,scattered clouds
4,Chuy,UY,-33.6971,-53.4616,59.83,62,2,6.67,clear sky
5,Gweta,BW,-20.1833,25.2333,76.17,41,43,8.99,scattered clouds
6,Hermanus,ZA,-34.4187,19.2345,65.8,81,61,18.45,broken clouds
7,Hue,VN,16.4667,107.6,64.51,94,75,8.05,mist
8,Jamestown,US,42.097,-79.2353,17.1,96,99,3.76,overcast clouds
9,Camacupa,AO,-12.0167,17.4833,60.42,95,94,2.42,light rain
10,Ushuaia,AR,-54.8,-68.3,38.86,81,75,16.11,broken clouds
11,Kulhudhuffushi,MV,6.6221,73.07,79.86,77,100,4.29,overcast clouds
12,Charagua,BO,-19.8,-63.2167,66.85,73,81,0.36,broken clouds
13,Albany,US,42.6001,-73.9662,22.75,55,96,1.99,overcast clouds
14,Aksu,CN,41.1231,80.2644,26.8,42,31,4.85,scattered clouds
15,Hambantota,LK,6.1241,81.1185,75.04,85,85,14.41,overcast clouds
16,Polovinnoye,RU,54.7914,65.9864,5.23,97,100,3.62,overcast clouds
17,Kungurtug,RU,50.5994,97.5228,-25.46,97,80,1.7,broken clouds
18,Rikitea,PF,-23.1203,-134.9692,78.73,71,56,13.89,broken clouds
19,Sovetskiy,RU,61.3614,63.5842,-14.37,100,68,2.95,broken clouds
20,Jining,CN,35.405,116.5814,34.77,79,96,12.17,overcast clouds
21,Busselton,AU,-33.65,115.3333,68.04,59,0,12.1,clear sky
22,Port-Cartier,CA,50.0334,-66.8654,-9.42,93,73,7.58,broken clouds
23,Libreville,GA,0.3925,9.4537,79.02,82,99,6.93,overcast clouds
24,Alofi,NU,-19.0595,-169.9187,80.94,73,100,10.74,overcast clouds
25,Torbay,CA,47.6666,-52.7314,34.57,77,75,14.97,broken clouds
26,Port Alfred,ZA,-33.5906,26.891,69.57,88,59,10.94,light rain
27,Kruisfontein,ZA,-34.0033,24.7314,66.94,85,38,4.94,light rain
28,Maxixe,MZ,-23.8597,35.3472,74.8,87,1,6.38,clear sky
29,Punta Arenas,CL,-53.15,-70.9167,48.31,43,20,20.71,few clouds
30,Saskylakh,RU,71.9167,114.0833,-17.73,90,42,3.06,scattered clouds
31,Bluff,NZ,-46.6,168.3333,66.79,64,52,1.63,broken clouds
32,Yanam,IN,16.7333,82.2167,65.71,83,6,3.36,clear sky
33,Barrow,US,71.2906,-156.7887,-23.51,100,100,8.3,overcast clouds
34,Bredasdorp,ZA,-34.5322,20.0403,65.52,72,97,8.05,overcast clouds
35,Teahupoo,PF,-17.8333,-149.2667,82.36,76,80,18.21,light rain
36,Pevek,RU,69.7008,170.3133,-16.91,97,100,8.66,overcast clouds
37,Cidreira,BR,-30.1811,-50.2056,68.67,91,93,3.18,overcast clouds
38,Khatanga,RU,71.9667,102.5,-27.4,98,77,2.24,broken clouds
39,Gladstone,AU,-23.85,151.25,84.78,61,36,19.57,scattered clouds
40,New Norfolk,AU,-42.7826,147.0587,62.92,68,96,3.71,overcast clouds
41,Acarau,BR,-2.8856,-40.12,79.66,80,18,14.92,few clouds
42,Arequipa,PE,-16.3989,-71.535,61.05,60,89,4.9,overcast clouds
43,Togur,RU,58.3631,82.8265,6.91,94,100,11.61,light snow
44,Longyearbyen,SJ,78.2186,15.6401,15.64,92,100,3.44,light snow
45,Meulaboh,ID,4.1363,96.1285,76.32,87,96,4.25,overcast clouds
46,Lorengau,PG,-2.0226,147.2712,83.32,74,96,1.97,overcast clouds
47,Atuona,PF,-9.8,-139.0333,78.01,77,19,13.62,light rain
48,Esperance,AU,-33.8667,121.9,64.24,70,36,12.71,scattered clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,76.55,90,89,1.01,overcast clouds
50,Qiongshan,CN,20.0058,110.3542,64.22,89,100,10.98,overcast clouds
51,Castro,BR,-24.7911,-50.0119,65.86,90,60,0.83,broken clouds
52,Vaini,TO,-21.2,-175.2,80.73,72,92,17.83,overcast clouds
53,Porto Novo,BJ,6.4965,2.6036,80.31,81,25,8.55,scattered clouds
54,Along,IN,28.1667,94.7667,42.39,62,0,2.1,clear sky
55,Mar Del Plata,AR,-38.0023,-57.5575,66.22,73,0,3.44,clear sky
56,Dauriya,RU,49.9333,116.8667,-29.42,100,69,0.85,broken clouds
57,Nanortalik,GL,60.1432,-45.2371,24.8,95,100,24.81,snow
58,Nikolskoye,RU,59.7035,30.7861,35.87,92,100,12.01,light snow
59,Tacoronte,ES,28.4769,-16.4102,58.14,68,40,15.01,scattered clouds
60,Khakhea,BW,-24.6895,23.494,73.58,38,8,7.92,clear sky
61,Arraial Do Cabo,BR,-22.9661,-42.0278,75.72,91,8,12.26,clear sky
62,Kapaa,US,22.0752,-159.319,78.48,63,44,5.99,scattered clouds
63,Lompoc,US,34.6391,-120.4579,83.08,57,0,3.0,clear sky
64,Ust-Nera,RU,64.5667,143.2,-31.72,95,58,1.19,broken clouds
65,Adrar,MR,20.5022,-10.0711,61.95,22,74,10.74,broken clouds
66,Lagoa,PT,39.05,-27.9833,56.71,59,97,5.12,overcast clouds
67,Saint Anthony,US,45.0205,-93.218,9.25,62,100,10.36,overcast clouds
68,Avarua,CK,-21.2078,-159.775,82.45,78,100,3.44,overcast clouds
69,Chokurdakh,RU,70.6333,147.9167,-11.97,95,97,8.61,overcast clouds
70,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,73,20,8.05,few clouds
71,Severo-Kurilsk,RU,50.6789,156.125,25.84,65,22,14.16,few clouds
72,Vagur,FO,61.4732,-6.8119,36.63,76,100,32.75,overcast clouds
73,Georgetown,MY,5.4112,100.3354,78.89,91,40,3.44,scattered clouds
74,Atasu,KZ,48.6814,71.6433,24.26,96,100,11.56,overcast clouds
75,Shetpe,KZ,44.1667,52.1167,27.97,75,19,8.1,few clouds
76,Inyonga,TZ,-6.7167,32.0667,64.06,94,100,2.82,overcast clouds
77,Chulman,RU,56.8479,124.9104,-41.57,100,98,0.47,overcast clouds
78,East London,ZA,-33.0153,27.9116,73.27,79,89,12.28,overcast clouds
79,Kieta,PG,-6.2167,155.6333,83.93,71,83,3.56,light rain
80,Tuatapere,NZ,-46.1333,167.6833,67.82,50,55,2.46,broken clouds
81,Ponta Do Sol,PT,32.6667,-17.1,61.43,61,89,1.05,overcast clouds
82,Ardabil,IR,38.2498,48.2933,27.32,91,98,5.91,light snow
83,Bengkulu,ID,-3.8004,102.2655,76.12,85,100,2.44,overcast clouds
84,Pochutla,MX,15.7432,-96.4661,85.82,57,65,4.56,broken clouds
85,Payo,ID,-3.7508,103.6372,72.95,94,97,1.83,overcast clouds
86,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,34,12.93,scattered clouds
87,Port Hedland,AU,-20.3167,118.5667,87.85,58,10,14.97,clear sky
88,Cabo San Lucas,MX,22.8909,-109.9124,82.62,47,98,5.73,overcast clouds
89,Cherskiy,RU,68.75,161.3,-24.03,97,97,7.2,overcast clouds
90,Takaka,NZ,-40.85,172.8,67.55,57,76,5.84,broken clouds
91,Bodaybo,RU,57.8506,114.1933,-40.31,100,56,1.83,broken clouds
92,Kavaratti,IN,10.5669,72.642,80.33,72,31,5.91,scattered clouds
93,Bhatkal,IN,13.9667,74.5667,73.53,71,0,3.71,clear sky
94,Fare,PF,-16.7,-151.0167,81.12,73,100,13.98,light rain
95,Mattru,SL,7.6244,-11.8332,74.93,94,36,2.59,light rain
96,Megion,RU,61.0296,76.1136,-4.99,97,98,9.89,overcast clouds
97,Hithadhoo,MV,-0.6,73.0833,81.84,75,72,11.72,broken clouds
98,Bambanglipuro,ID,-7.95,110.2833,62.6,86,100,3.67,light rain
99,Ancud,CL,-41.8697,-73.8203,59.0,90,11,2.35,few clouds
100,Madimba,TZ,-10.4,40.3333,77.32,91,66,4.85,light rain
101,Northam,GB,51.0333,-4.2167,46.26,88,100,17.83,overcast clouds
102,Padang,ID,-0.9492,100.3543,71.65,77,100,4.25,overcast clouds
103,Tamiahua,MX,21.2667,-97.45,59.05,54,34,9.75,scattered clouds
104,Provideniya,RU,64.3833,-173.3,-3.64,71,0,8.99,clear sky
105,Sabang,ID,5.8933,95.3214,81.72,72,34,9.19,scattered clouds
106,Kodiak,US,57.79,-152.4072,40.51,60,0,8.05,clear sky
107,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,75,6.91,broken clouds
108,Yeppoon,AU,-23.1333,150.7333,82.18,74,49,20.83,scattered clouds
109,Znamenskoye,RU,57.1281,73.8282,2.35,98,99,4.85,overcast clouds
110,Margate,GB,51.3813,1.3862,49.96,88,100,8.99,light rain
111,Chumikan,RU,54.7183,135.315,-7.56,89,78,5.26,broken clouds
112,Clyde River,CA,70.4692,-68.5914,-18.17,76,100,23.02,haze
113,Qaanaaq,GL,77.484,-69.3632,-7.8,74,99,5.99,overcast clouds
114,Lavrentiya,RU,65.5833,-171.0,-17.07,92,47,3.18,scattered clouds
115,Abu Dhabi,AE,24.4667,54.3667,63.97,78,20,6.91,few clouds
116,Mahajanga,MG,-15.7167,46.3167,76.68,90,17,9.66,light rain
117,Lazaro Cardenas,MX,17.9583,-102.2,81.97,56,88,4.76,overcast clouds
118,Port Antonio,JM,18.18,-76.4612,78.94,75,43,6.42,scattered clouds
119,Mandalgovi,MN,45.7625,106.2708,-7.96,89,40,7.47,scattered clouds
120,Gashua,NG,12.871,11.0482,68.88,14,2,8.14,clear sky
121,Tura,IN,25.5198,90.2201,53.24,75,0,4.72,clear sky
122,Olonets,RU,60.9847,32.9698,30.34,97,100,14.85,snow
123,Egvekinot,RU,66.3167,-179.1667,-16.15,91,66,5.7,broken clouds
124,Hualmay,PE,-11.0964,-77.6139,72.48,76,22,10.4,few clouds
125,Bubaque,GW,11.2833,-15.8333,77.94,67,3,10.07,clear sky
126,Buchanan,LR,5.8808,-10.0467,78.84,87,42,7.43,scattered clouds
127,Solnechnyy,RU,50.7214,136.6319,10.24,91,99,5.08,overcast clouds
128,Toora-Khem,RU,52.4675,96.11,-31.85,100,74,0.76,broken clouds
129,Hobart,AU,-42.8794,147.3294,63.27,77,100,10.36,overcast clouds
130,Marawi,PH,7.9986,124.2928,67.64,79,100,1.14,overcast clouds
