City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Hilo,US,78.24,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1,Cape Town,ZA,68.41,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
2,Mataura,NZ,66.47,broken clouds,-46.1927,168.8643,Ellie's Villa
5,Gweta,BW,76.17,scattered clouds,-20.1833,25.2333,Gweta Lodge
6,Hermanus,ZA,65.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Hue,VN,64.51,mist,16.4667,107.6,Saigon Morin Hotel
11,Kulhudhuffushi,MV,79.86,overcast clouds,6.6221,73.07,Haajy Guest House 1
12,Charagua,BO,66.85,broken clouds,-19.8,-63.2167,Hotel
15,Hambantota,LK,75.04,overcast clouds,6.1241,81.1185,Bungalow 63
18,Rikitea,PF,78.73,broken clouds,-23.1203,-134.9692,People ThankYou
21,Busselton,AU,68.04,clear sky,-33.65,115.3333,Observatory Guest House
23,Libreville,GA,79.02,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
26,Port Alfred,ZA,69.57,light rain,-33.5906,26.891,The Halyards Hotel
27,Kruisfontein,ZA,66.94,light rain,-34.0033,24.7314,Oyster Bay House Rental
28,Maxixe,MZ,74.8,clear sky,-23.8597,35.3472,Oceano
31,Bluff,NZ,66.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
32,Yanam,IN,65.71,clear sky,16.7333,82.2167,The Regency Hotel
34,Bredasdorp,ZA,65.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
37,Cidreira,BR,68.67,overcast clouds,-30.1811,-50.2056,Hotel Castelo
40,New Norfolk,AU,62.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
41,Acarau,BR,79.66,few clouds,-2.8856,-40.12,castelo pizzaria
42,Arequipa,PE,61.05,overcast clouds,-16.3989,-71.535,Casa de Avila Hotel
45,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
47,Atuona,PF,78.01,light rain,-9.8,-139.0333,Villa Enata
48,Esperance,AU,64.24,scattered clouds,-33.8667,121.9,Hospitality Esperance
49,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Qiongshan,CN,64.22,overcast clouds,20.0058,110.3542,Sun City Restaurant
